area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,25-2011,5620,10.47,8.66,9.09,13.31,14.89
1,Alabama,25-2012,420,*,*,*,*,*
1,Alabama,25-2021,22630,*,*,*,*,*
1,Alabama,25-2022,10040,*,*,*,*,*
1,Alabama,25-2023,360,*,*,*,*,*
1,Alabama,25-2031,15040,*,*,*,*,*
1,Alabama,25-2032,**,*,*,*,*,*
1,Alabama,25-2051,**,*,*,*,*,*
1,Alabama,25-2052,790,*,*,*,*,*
1,Alabama,25-2057,**,*,*,*,*,*
1,Alabama,25-2058,500,*,*,*,*,*
1,Alabama,25-3011,420,21.45,16.58,18.27,25.62,30.21
1,Alabama,25-3021,1810,17.27,10.09,12.82,22.45,27.61
1,Alabama,25-3031,4580,8.75,8.14,8.41,9.02,9.29
1,Alabama,25-3041,850,16.14,8.9,13.89,18.51,21.91
1,Alabama,25-3099,2170,*,*,*,*,*
1,Alabama,25-4011,90,24.03,14.46,19.16,32.89,39.26
1,Alabama,25-4012,150,22.88,13.38,17.89,30.17,38.8
1,Alabama,25-4013,80,17.77,11.2,13.63,23.91,31.06
1,Alabama,25-4022,2530,28.65,14.07,23.42,30.17,34.71
1,Alabama,25-4031,520,16.88,11.95,13.72,19.07,22.59
1,Alabama,25-9021,310,26.86,20.73,22.17,28.98,37.9
1,Alabama,25-9031,1800,37.03,22.03,26.48,52.93,57.48
1,Alabama,25-9044,**,*,*,*,*,*
1,Alabama,25-9045,7520,*,*,*,*,*
1,Alabama,25-9099,520,16.47,11.21,15.17,20.99,27.03
1,Alabama,27-0000,18110,20.7,11.21,14.61,29.87,40.62
1,Alabama,27-1011,120,41.34,23.54,28.97,45.08,53.65
1,Alabama,27-1012,50,20.7,13.6,14.02,21.63,22.23
1,Alabama,27-1013,30,20.76,17.83,19.82,21.79,33.02
1,Alabama,27-1014,90,30.26,20.22,25.32,39.3,49.47
1,Alabama,27-1021,70,34.62,26.76,30.81,37.71,44.57
1,Alabama,27-1023,620,13.96,10.42,11.64,16.3,20.28
1,Alabama,27-1024,1960,21.82,14.15,17.05,30.09,39.73
1,Alabama,27-1025,630,28.36,8.46,20.09,33.03,43.98
1,Alabama,27-1026,3070,16.25,12.66,14.05,21.8,24.34
1,Alabama,27-1027,120,25.74,8.06,16.11,30.89,31.64
1,Alabama,27-2012,840,26.12,16.77,19.2,36.08,41.05
1,Alabama,27-2021,300,*,*,*,*,*
1,Alabama,27-2022,2750,*,*,*,*,*
1,Alabama,27-2041,100,21.79,10.01,15.31,27.6,37.85
1,Alabama,27-2042,190,12.05,10.47,11.35,15.22,25.23
1,Alabama,27-3011,**,17.34,9.93,12.43,23.54,35.79
1,Alabama,27-3023,500,18.81,12.69,14.79,23,38.31
1,Alabama,27-3031,2160,26.8,15.43,19.66,38.29,53.25
1,Alabama,27-3041,600,27.02,16.02,20.37,36.59,47.97
