series_id                     ,year,period,       value,footnote_codes
LAUCN011330000000004          ,2024,M02,357.0,P
LAUCN011330000000005          ,2024,M01,9420.0,
LAUCN011330000000005          ,2024,M02,9336.0,P
LAUCN011330000000006          ,2024,M01,9781.0,
LAUCN011330000000006          ,2024,M02,9693.0,P
LAUCN020130000000003          ,2024,M01,2.8,
LAUCN020130000000003          ,2024,M02,2.6,P
LAUCN020130000000004          ,2024,M01,80.0,
LAUCN020130000000004          ,2024,M02,75.0,P
LAUCN020130000000005          ,2024,M01,2758.0,
LAUCN020130000000005          ,2024,M02,2761.0,P
LAUCN020130000000006          ,2024,M01,2838.0,
LAUCN020130000000006          ,2024,M02,2836.0,P
LAUCN020160000000003          ,2024,M01,3.7,
LAUCN020160000000003          ,2024,M02,2.4,P
LAUCN020160000000004          ,2024,M01,141.0,
LAUCN020160000000004          ,2024,M02,117.0,P
LAUCN020160000000005          ,2024,M01,3685.0,
LAUCN020160000000005          ,2024,M02,4781.0,P
LAUCN020160000000006          ,2024,M01,3826.0,
LAUCN020160000000006          ,2024,M02,4898.0,P
LAUCN020200000000003          ,2024,M01,4.1,
LAUCN020200000000003          ,2024,M02,4.4,P
